category,sound,x,y
BirdSong,1,0.2490773090776397,-1.2221073411560965
BirdSong,2,-1.1156799808024147,-0.7332676119355845
BirdSong,3,0.6004903310448225,-0.3606224677704406
BirdSong,4,0.10182936129781035,2.1509046773155123
BirdSong,5,-0.14682957781258385,0.28814795828216827
BirdSong,6,-1.5405595928064946,0.888315185686659
BirdSong,7,1.205085450887083,-0.143490039651731
BirdSong,8,-1.119533163984611,-1.5167627440712597
BirdSong,9,-0.10412342913464485,0.6231441411986128
BirdSong,10,1.8702432922241206,0.02573824204604197
BirdSquawk,1,1.2916552245921478,-0.17032771823898105
BirdSquawk,2,0.16252842821475155,0.1372239999442284
BirdSquawk,3,0.292997578571248,-0.4961985760951471
BirdSquawk,4,0.49523383215898414,-0.31777351224496747
BirdSquawk,5,-0.2662041068516167,-0.5008380278422354
BirdSquawk,6,-0.594911123892037,0.7901004057481495
BirdSquawk,7,0.5292017646481363,1.4751089305713165
BirdSquawk,8,-0.6830695391925574,-0.0035164509955226903
BirdSquawk,9,-0.3387139809884214,-1.1793051836536077
BirdSquawk,10,-0.8887180772482515,0.2655261328123182
BirdsFlyingOff,1,1.6294155775579107,2.743060320839133
BirdsFlyingOff,2,1.7586968411217172,0.29994989033683045
BirdsFlyingOff,3,-0.1009939317494436,-0.3185019599879929
BirdsFlyingOff,4,-0.6366799361435087,-2.291429328317829
BirdsFlyingOff,5,-1.303701010684387,1.4427852002785575
BirdsFlyingOff,6,-1.9701434098775452,-0.5764780837812163
BirdsFlyingOff,7,-0.10001655777838032,-0.5106713087608598
BirdsFlyingOff,8,0.35621064266301095,-1.9359290193508134
BirdsFlyingOff,9,-0.1394985560845285,1.0122232193509675
BirdsFlyingOff,10,0.5067103410048329,0.1349910693803855
CarHorn,1,0.7978716309111654,0.3066190514758839
CarHorn,2,0.49842560307145717,1.4178216323915513
CarHorn,3,0.9323345348178398,-1.28579055457063
CarHorn,4,0.7388556684112915,-0.538039069893295
CarHorn,5,-0.7400064282876502,-0.09818184452514561
CarHorn,6,-0.7573992918742827,1.0073309052110344
CarHorn,7,0.24114507614032843,0.5934449032556075
CarHorn,8,-0.8191509519631,-0.10355520498961378
CarHorn,9,-0.4358419399605673,-1.3513997213066231
CarHorn,10,-0.45623390125131885,0.05174990292117217
CarSkidding,1,0.5068212631255706,0.8779678673815573
CarSkidding,2,1.4584481920187589,1.2826182407591462
CarSkidding,3,0.9493810921229567,-1.5315236259836589
CarSkidding,4,-0.15080653991299442,-0.4649395474481421
CarSkidding,5,-0.8609657502442304,0.2490187020813841
CarSkidding,6,-1.5699954933216311,-0.08190270129704608
CarSkidding,7,-0.32404398538733964,0.42451924171681577
CarSkidding,8,-0.41748469251361153,-1.9307079074592317
CarSkidding,9,-1.284267998321507,1.812198640090131
CarSkidding,10,1.6929139124352972,-0.6372489098165665
CarStarting,1,0.7137388171715826,0.039307134953650416
CarStarting,2,-0.016330721165770216,0.16680860475434928
CarStarting,3,1.399809198606639,-1.630201618563147
CarStarting,4,1.9345395481755963,-0.9297124361740491
CarStarting,5,-0.6640935133199259,-0.15962871889634445
CarStarting,6,-1.2630469350232667,1.9799619615516246
CarStarting,7,0.16316476552685036,1.1163069385874873
CarStarting,8,-1.940381332724444,-0.24831032279195547
CarStarting,9,0.015393463737588861,-1.6147473803854995
CarStarting,10,-0.34279329098045186,1.2802158369853065
CatHissing,1,-0.1480921021632985,-2.0114723841218174
CatHissing,2,-1.0761948058163693,-0.5503851287019093
CatHissing,3,1.889032973571064,-1.0182071413477496
CatHissing,4,-0.09934486006137949,2.3718997418560925
CatHissing,5,0.05573106283112065,0.04458140367711771
CatHissing,6,-0.7759310227449805,0.7083834356276539
CatHissing,7,0.4336317455349916,0.31419332277842527
CatHissing,8,-1.1504965289946323,-1.6098795810620823
CatHissing,9,-0.7391842986210977,1.3079995816177155
CatHissing,10,1.6108478364590952,0.4428867496714915
CatMeowing,1,0.5556640787261196,0.9312527775354544
CatMeowing,2,1.5765676212753181,0.5460034454459108
CatMeowing,3,0.9647689506719908,-1.4167785964868564
CatMeowing,4,-0.25154597162627357,-0.9756521494578747
CatMeowing,5,-1.5079691928741834,0.7302069300790957
CatMeowing,6,-1.742956663443038,-0.63545254128604
CatMeowing,7,0.40316480287346873,-0.5467551623087481
CatMeowing,8,-0.4370880518250131,-0.16161550076136438
CatMeowing,9,-0.33859355169867833,1.5664020452483056
CatMeowing,10,0.7779879779118506,-0.03761124801033093
CatPurring,1,1.2514308095469653,-0.9646038182331783
CatPurring,2,-1.6673117863997426,-0.18713695803508754
CatPurring,3,1.6279313097002515,-0.13132278836023065
