LP,FileName,Category,Subcategory,Database,OriginalFileName,Duration,SampleRate,TotalSamples,Channels,BitsPerSample,Type,BackgroundNoise,MaskingEffect,Movement,Distance,SoundSource,Notes
327,'LaughingGroup_07_MONO.wav',Human,vocal nonspeech,FreeSound.org,'337718__schroedel__lachen-2.wav',3,44100,132300,1,16,F,0,0,0,0,1,
328,'LaughingGroup_08_MONO.wav',Human,vocal nonspeech,FreeSound.org,'418831__pbrproductions__patrons-laughing.wav',2.994897959,44100,132075,1,16,F,0,0,0,0,1,
329,'LaughingGroup_09_MONO.wav',Human,vocal nonspeech,FreeSound.org,'337001__tim-kahn__laughter-01.wav',3,44100,132300,1,16,F,0,0,0,0,1,
330,'LaughingGroup_10_MONO.wav',Human,vocal nonspeech,FreeSound.org,'395407__littlerainyseasons__laugh-track-4.wav',2.115918367,44100,93312,1,16,F,0,0,0,0,1,
331,'Sneezing_01_MONO.wav',Human,respiratory & vocal,SoundBible.com,'Baby Sneeze-431839106.wav',1.356802721,44100,59835,1,16,F,1,0,0,0,0,"Ambient noise, quiet"
332,'Sneezing_02_MONO.wav',Human,respiratory & vocal,SoundBible.com,'Sneeze-95200613.wav',0.65015873,44100,28672,1,16,F,1,0,0,0,0,"Ambient noise, quiet"
333,'Sneezing_03_MONO.wav',Human,respiratory & vocal,FreeSound.org,'54505__sagetyrtle__sneeze.wav',2.526371882,44100,111413,1,16,F,0,0,0,0,0,
334,'Sneezing_04_MONO.wav',Human,respiratory & vocal,FreeSound.org,'194533__wjoojoo__stan-baby-sneezing.wav',3,44100,132300,1,16,F,0,0,0,0,0,
335,Sneezing_05_MONO.wav',Human,respiratory & vocal,zapsplat.com,'zapsplat_human_male_sneeze_004_17823.wav',0.888004535,44100,39161,1,16,F,0,0,0,0,0,
336,'Sneezing_06_MONO.wav',Human,respiratory & vocal,FreeSound.org,'341038__vikuserro__sneezing.wav',2.670272109,44100,117759,1,16,F,0,0,0,0,0,
337,'Sneezing_07_MONO.wav',Human,respiratory & vocal,FreeSound.org,'368801__inspectorj__sneeze-single-e.wav',1.293605442,44100,57048,1,16,F,0,0,0,0,0,
338,'Sneezing_08_MONO.wav',Human,respiratory & vocal,FreeSound.org,'451736__starplatinums__sneeze.wav',1.102947846,44100,48640,1,16,F,0,0,0,0,0,
339,'Sneezing_09_MONO.wav',Human,respiratory & vocal,FreeSound.org,'467954__jpbillingsleyjr__i-sneezed.wav',2.238707483,44100,98727,1,16,F,0,0,0,0,0,
340,'Sneezing_10_MONO.wav',Human,respiratory & vocal,FreeSound.org,'469122__manim8__sneeze-male-speed-normal.wav',3,44100,132300,1,16,F,0,0,0,0,0,
341,'Snoring_01_MONO.wav',Human,respiratory,SoundBible.com,'Snoring-Popup_Pixels-869228912.wav',3,44100,132300,1,16,F,0,0,0,0,0,
342,'Snoring_02_MONO.wav',Human,respiratory,Adobe Systems Incorporated,'Human Female Snoring 01.wav',2.996870748,44100,132162,1,16,F,0,0,0,0,0,
343,'Snoring_03_MONO.wav',Human,respiratory,Adobe Systems Incorporated,'Human Female Snoring 02.wav',2.128752834,44100,93878,1,16,F,0,0,0,0,0,
344,'Snoring_04_MONO.wav',Human,respiratory,Adobe Systems Incorporated,'Human Male Snoring 01.wav',3,44100,132300,1,16,F,0,0,0,0,0,Very close
345,'Snoring_05_MONO.wav',Human,respiratory,Adobe Systems Incorporated,'Human Male Snoring 02.wav',2.253356009,44100,99373,1,16,F,0,0,0,0,0,
346,'Snoring_06_MONO.wav',Human,respiratory,Adobe Systems Incorporated,'Human Male Snoring 03.wav',3,44100,132300,1,16,F,0,0,0,0,0,Very close
347,'Snoring_07_MONO.wav',Human,respiratory,Adobe Systems Incorporated,'Human Male Snoring 04.wav',2.960045351,44100,130538,1,16,F,0,0,0,0,0,
348,'Snoring_08_MONO.wav',Human,respiratory,Adobe Systems Incorporated,'Human Male Snoring Purring Snoring 01.wav',3,44100,132300,1,16,F,0,0,0,0,0,
349,'Snoring_09_MONO.wav',Human,respiratory,Adobe Systems Incorporated,'Human Snoring Male 01.wav',3,44100,132300,1,16,F,0,0,0,0,0,
350,'Snoring_10_MONO.wav',Human,respiratory,Adobe Systems Incorporated,'Human Snoring Male 02.wav',3,44100,132300,1,16,F,0,0,0,0,0,
351,'ThroatClearing_01_MONO.wav',Human,respiratory & vocal,SoundBible.com,'Clearing Throat Male-37691700.wav',1.10877551,44100,48897,1,16,F,0,0,0,0,0,
352,'ThroatClearing_02_MONO.wav',Human,respiratory & vocal,SoundBible.com,'Throat Clearing-328410293.wav',0.951451247,44100,41959,1,16,F,0,0,0,0,0,
353,'ThroatClearing_03_MONO.wav',Human,respiratory & vocal,Adobe Systems Incorporated,'Human Male Clear Throat 01.wav',0.898662132,44100,39631,1,16,F,0,0,0,0,0,
354,'ThroatClearing_04_MONO.wav',Human,respiratory & vocal,Adobe Systems Incorporated,'Human Male Clear Throat Caveman Grunt 01.wav',1.466507937,44100,64673,1,16,F,0,0,0,0,0,
355,'ThroatClearing_05_MONO.wav',Human,respiratory & vocal,Adobe Systems Incorporated,'Human Male Clear Throat Grunt 01.wav',0.822222222,44100,36260,1,16,F,0,0,0,0,0,
356,'ThroatClearing_06_MONO.wav',Human,respiratory & vocal,Adobe Systems Incorporated,'Human Male Clear Throat Trying To Get Someones Attention 01.wav',1.18861678,44100,52418,1,16,F,0,0,0,0,0,
357,'ThroatClearing_07_MONO.wav',Human,respiratory & vocal,Adobe Systems Incorporated,'Human Male Clear Throat Vibrating 01.wav',1.220090703,44100,53806,1,16,F,0,0,0,0,0,
358,'ThroatClearing_08_MONO.wav',Human,respiratory & vocal,Adobe Systems Incorporated,'Human Male Clearing Throat 01.wav',0.750294785,44100,33088,1,16,F,0,0,0,0,0,
359,'ThroatClearing_09_MONO.wav',Human,respiratory & vocal,Adobe Systems Incorporated,'Human Male Clears Throat 01.wav',0.537913832,44100,23722,1,16,F,0,0,0,0,0,
360,'ThroatClearing_10_MONO.wav',Human,respiratory & vocal,Adobe Systems Incorporated,'Human Male Clears Throat 02.wav',0.738662132,44100,32575,1,16,F,0,0,0,0,0,
361,'DrillingPneumatic_01_MONO.wav',Manmade,tools,BBC Sound Effects,'07075064_pneumatic coal drill.wav',3,44100,132300,1,16,F,0,0,0,0,0,
362,DrillingPneumatic_02_MONO.wav',Manmade,tools,zapsplat.com,'industrial_tools_jackhammer_operating_003.wav',2.995736961,44100,132112,1,16,F,0,0,0,0,0,
363,'DrillingPneumatic_03_MONO.wav',Manmade,tools,BBC Sound Effects,'07001003_Break drilling.wav',3,44100,132300,1,16,F,0,0,0,0,0,
364,DrillingPneumatic_04_MONO.wav',Manmade,tools,zapsplat.com,'industrial_tools_jackhammer_operating_002.wav',3,44100,132300,1,16,F,0,0,0,1,0,
365,'DrillingPneumatic_05_MONO.wav',Manmade,tools,FreeSound.org,"'07043170_Quarrying, road drill with compressor..wav'",3,44100,132300,1,16,F,1,0,0,0,0,Another motor in the distance
366,'DrillingPneumatic_06_MONO.wav',Manmade,tools,FreeSound.org,'77751__xserra__jackhammer.wav',3,44100,132300,1,16,F,0,0,0,0,0,
367,'DrillingPneumatic_07_MONO.wav',Manmade,tools,FreeSound.org,'105029__benboncan__jackhammer-short.wav',3,44100,132300,1,16,F,0,0,0,0,0,
368,'DrillingPneumatic_08_MONO.wav',Manmade,tools,FreeSound.org,'188823__unfa__pneumatic-hammer-vs-concrete-floor-direct-louder.wav',3,44100,132300,1,16,F,0,0,0,0,0,
369,'DrillingPneumatic_09_MONO.wav',Manmade,tools,FreeSound.org,'317361__mrauralization__jackhammer.wav',3,44100,132300,1,16,F,0,0,0,0,0,
370,'DrillingPneumatic_10_MONO.wav',Manmade,tools,FreeSound.org,'323143__michael-db__jackhammer.wav',3,44100,132300,1,16,F,0,0,0,0,0,
371,'Drilling_01_MONO.wav',Manmade,tools,BBC Sound Effects,'07045148_electric drill n wood.wav',3,44100,132300,1,16,F,0,0,0,0,0,
372,'Drilling_02_MONO.wav',Manmade,tools,BBC Sound Effects,'07045149_electric drill on metal.wav',2.999727891,44100,132288,1,16,F,0,0,0,0,0,
373,'Drilling_03_MONO.wav',Manmade,tools,BBC Sound Effects,"'07037266_Service Station, air drill operating.wav'",2.999977324,44100,132299,1,16,F,0,0,0,0,0,
374,'Drilling_04_MONO.wav',Manmade,tools,BBC Sound Effects,"'07042272_Electric Drill, single hole drilled..wav'",2.999954649,44100,132298,1,16,F,0,0,0,0,0,
375,'Drilling_05_MONO.wav',Manmade,tools,BBC Sound Effects,'07045150_electric drill on emtal.wav',3,44100,132300,1,16,F,0,0,0,0,0,
376,'Drilling_06_MONO.wav',Manmade,tools,FreeSound.org,'71086__aharri6__multiple-drill.wav',2.631179138,44100,116035,1,16,F,0,0,0,0,0,
377,'Drilling_07_MONO.wav',Manmade,tools,FreeSound.org,'179725__wjoojoo__impact-drill.wav',2.993696145,44100,132022,1,16,F,0,0,0,0,0,
378,'Drilling_08_MONO.wav',Manmade,tools,FreeSound.org,'244242__chewiesmissus__drilling-a-screw-into-wood.wav',3,44100,132300,1,16,F,0,0,0,0,0,
379,Drilling_09_MONO.wav',Manmade,tools,zapsplat.com,'zapsplat_industrial_drill_cordless_drilling_screw_into_wooden_sleeper_003_14330.wav',2.992721088,44100,131979,1,16,F,0,0,0,0,0,
380,'Drilling_10_MONO.wav',Manmade,tools,FreeSound.org,'377525__13fpanska-machacova-petra__driller.wav',3,44100,132300,1,16,F,0,0,0,0,0,
381,'Hammer_01_MONO.wav',Manmade,tools,FreeSound.org,'154465__lucaslara__hammering-on-wood-1-2.wav',3,44100,132300,1,16,F,0,0,0,0,0,
382,'Hammer_02_MONO.wav',Manmade,tools,FreeSound.org,'180243__silverpadfoot__farrier-hammering-horseshoe.wav',3,44100,132300,1,16,F,0,0,0,0,0,
383,'Hammer_03_MONO.wav',Manmade,tools,FreeSound.org,'207782__dvideoguy__hammering.wav',2.996462585,44100,132144,1,16,F,0,0,0,0,0,
384,'Hammer_04_MONO.wav',Manmade,tools,FreeSound.org,'328762__aerror__hammering.wav',3,44100,132300,1,16,F,0,0,0,0,0,
385,'Hammer_05_MONO.wav',Manmade,tools,FreeSound.org,'365762__biancabothapure__hammer-hitting-a-nail.wav',2.990181406,44100,131867,1,16,F,0,0,0,0,0,
386,'Hammer_06_MONO.wav',Manmade,tools,FreeSound.org,'406048__inspectorj__hammering-nails-close-a.wav',2.909206349,44100,128296,1,16,F,0,0,0,0,0,
387,'Hammer_07_MONO.wav',Manmade,tools,FreeSound.org,'419927__14fpanskasilovsky-petr__hammering-nails.wav',2.980929705,44100,131459,1,16,F,0,0,0,0,0,
388,'Hammer_08_MONO.wav',Manmade,tools,FreeSound.org,'434339__draftcraft__hammer-hitting-an-anvil.wav',2.999455782,44100,132276,1,16,F,0,0,0,0,0,
389,'Hammer_09_MONO.wav',Manmade,tools,FreeSound.org,'445520__180007__hammer.wav',2.992199546,44100,131956,1,16,F,0,0,0,0,0,
390,'Hammer_10_MONO.wav',Manmade,tools,FreeSound.org,'450874__kyles__tap-hammer-small-piece-of-metal-gentle-hits.wav',3,44100,132300,1,16,F,0,0,0,0,0,
391,'SawingManual_01_MONO.wav',Manmade,tools,BBC Sound Effects,"'07042274_Hand Saw, sawing a piece of plywood..wav'",2.999138322,44100,132262,1,16,F,0,0,0,0,0,
392,'SawingManual_02_MONO.wav',Manmade,tools,BBC Sound Effects,'07066111_Tenon saw.wav',3,44100,132300,1,16,F,0,0,0,0,0,
393,'SawingManual_03_MONO.wav',Manmade,tools,BBC Sound Effects,'07066111_Tenon saw.wav',2.999886621,44100,132295,1,16,F,0,0,0,0,0,
394,'SawingManual_04_MONO.wav',Manmade,tools,FreeSound.org,'7974__dobroide__handsaw.wav',3,44100,132300,1,16,F,0,0,0,0,0,
395,'SawingManual_05_MONO.wav',Manmade,tools,FreeSound.org,'59321__vibe-crc__saw-lumber.wav',2.718072562,44100,119867,1,16,F,0,0,0,0,0,
396,'SawingManual_06_MONO.wav',Manmade,tools,FreeSound.org,'198360__paulw2k__hand-sawing.wav',3.000226757,44100,132310,1,16,F,0,0,0,0,0,
397,'SawingManual_07_MONO.wav',Manmade,tools,FreeSound.org,'204947__capslok__metal-saw-hand.wav',2.847755102,44100,125586,1,16,F,0,0,0,0,0,
398,'SawingManual_08_MONO.wav',Manmade,tools,FreeSound.org,'319640__vehicle__handsaw-sawing-wood-01.wav',2.984172336,44100,131602,1,16,F,0,0,0,0,0,
399,'SawingManual_09_MONO.wav',Manmade,tools,FreeSound.org,'333288__larryblag__handsawing-wood.wav',3,44100,132300,1,16,F,0,0,0,0,0,
400,'SawingManual_10_MONO.wav',Manmade,tools,FreeSound.org,'445526__180007__saw.wav',2.519365079,44100,111104,1,16,F,0,0,0,0,0,
401,'Sawing_01_MONO.wav',Manmade,tools,BBC Sound Effects,"'07002324_A tractor starts up, driving a circular saw, sawing ends, tractor switched off.wav'",2.766235828,44100,121991,1,16,F,0,0,0,0,0,
402,'Sawing_02_MONO.wav',Manmade,tools,BBC Sound Effects,'07066094_Portable 5 inch cutting against grain.wav',2.999115646,44100,132261,1,16,F,0,0,0,0,0,
403,'Sawing_03_MONO.wav',Manmade,tools,BBC Sound Effects,'07066094_Portable 5 inch cutting against grain.wav',2.999931973,44100,132297,1,16,F,0,0,0,0,0,
404,'Sawing_04_MONO.wav',Manmade,tools,BBC Sound Effects,'07066095_14 inch saw in timber yard.wav',2.998956916,44100,132254,1,16,F,0,0,0,0,0,
405,Sawing_05_MONO.wav',Manmade,tools,FreeSound.org,'250054__kwahmah-02__circular-saw-3.wav',2.996394558,44100,132141,1,16,F,0,0,0,0,0,
406,'Sawing_06_MONO.wav',Manmade,tools,BBC Sound Effects,'07070130_Sawing with circular saw..wav',3,44100,132300,1,16,F,0,0,0,1,0,
407,Sawing_07_MONO.wav',Manmade,tools,FreeSound.org,'390710__megashroom__circular-saw-04-170501-1492.wav',2.987188209,44100,131735,1,16,F,0,0,0,0,0,
408,'Sawing_08_MONO.wav',Manmade,tools,FreeSound.org,'277458__villevi__log-cutting.wav',3,44100,132300,1,16,F,0,0,0,0,0,
409,'Sawing_09_MONO.wav',Manmade,tools,FreeSound.org,'345994__ivolipa__chainsaw-2.wav',3,44100,132300,1,16,F,0,0,0,0,0,
410,'Sawing_10_MONO.wav',Manmade,tools,FreeSound.org,'345995__ivolipa__chainsaw-1.wav',2.998956916,44100,132254,1,16,F,0,0,0,0,0,
411,'CarHorn_01_MONO.wav',Manmade,transport,BBC Sound Effects,'07023071_Mini 1000cc 1972 horn',2.763854875,44100,121886,1,16,F,0,0,0,0,0,
412,'CarHorn_02_MONO.wav',Manmade,transport,BBC Sound Effects,'07050087_Land River Safari Diesel 1967car horn',2.862721088,44100,126246,1,16,F,1,0,0,0,0,Some air hitting the microphone?
413,'CarHorn_03_MONO.wav',Manmade,transport,BBC Sound Effects,'07055187_Peugeot 208 car horn',1.428412698,44100,62993,1,16,F,0,0,0,0,0,
414,'CarHorn_04_MONO.wav',Manmade,transport,BBC Sound Effects,'07055191_Peugeot 211 car horn',1.03968254,44100,45850,1,16,F,0,0,0,0,0,
415,'CarHorn_05_MONO.wav',Manmade,transport,BBC Sound Effects,'07063159_Renault 5 car horn.wav',2.858752834,44100,126071,1,16,F,1,0,0,0,0,Ambient outdoor sound
416,'CarHorn_06_MONO.wav',Manmade,transport,BBC Sound Effects,'07063139_BMW 320i convertible car horn',2.778276644,44100,122522,1,16,F,1,0,0,0,0,Ambient outdoor sound
417,'CarHorn_07_MONO.wav',Manmade,transport,FreeSound.org,'419695__14fvaltrovat__long-horn.wav',0.710045351,44100,31313,1,16,F,0,0,0,0,0,
418,'CarHorn_08_MONO.wav',Manmade,transport,OrangeFreeSounds.com,'Car-horn-honk-on-the-street-sound-effect.wav',3,44100,132300,1,16,F,1,0,0,0,0,Traffic hum
419,'CarHorn_09_MONO.wav',Manmade,transport,OrangeFreeSounds.com,'Car-horn-sound.wav',3,44100,132300,1,16,F,0,0,0,0,0,
420,'CarHorn_10_MONO.wav',Manmade,transport,OrangeFreeSounds.com,'Horn-sound.wav',2.533877551,44100,111744,1,16,F,0,0,0,0,0,
421,'CarSkidding_01_MONO.wav',Manmade,transport,BBC Sound Effects,'07011306_Citroen 1953 skid stop',2.766281179,44100,121993,1,16,F,1,0,1,2,0,
422,'CarSkidding_02_MONO.wav',Manmade,transport,BBC Sound Effects,'07023048_Ford Cortina 1500cc 1969 skidding',2.934897959,44100,129429,1,16,F,1,0,1,2,0,Ambient outdoor sound
423,'CarSkidding_03_MONO.wav',Manmade,transport,BBC Sound Effects,'07023048_Ford Cortina 1500cc 1969 skidding',2.934897959,44100,129429,1,16,F,1,0,1,2,0,Ambient outdoor sound
424,'CarSkidding_04_MONO.wav',Manmade,transport,BBC Sound Effects,'07023128_Ford Fiesta 1300cc 1980 skidding',3,44100,132300,1,16,F,1,0,1,2,0,Ambient outdoor sound
425,'CarSkidding_05_MONO.wav',Manmade,transport,BBC Sound Effects,'07023155_Ford Cortina skidding',2.991836735,44100,131940,1,16,F,1,0,1,2,0,Ambient outdoor sound
426,CarSkidding_06_MONO.wav',Manmade,transport,FreeSound.org,'217542__medartimus__car-breaking-skid-01.wav',2.705124717,44100,119296,1,16,F,0,0,1,2,0,
427,CarSkidding_07_MONO.wav',Manmade,transport,FreeSound.org,'369783__aquafox-0101__derrape-de-automovil-car-skid.wav',2.426643991,44100,107015,1,16,F,0,0,1,2,0,
428,'CarSkidding_08_MONO.wav',Manmade,transport,BBC Sound Effects,'07065125_skid',2.972222222,44100,131075,1,16,F,1,0,1,2,0,Ambient outdoor sound
429,'CarSkidding_09_MONO.wav',Manmade,transport,BBC Sound Effects,'07065126_skid.wav',2.865804989,44100,126382,1,16,F,0,0,1,2,0,
430,'CarSkidding_10_MONO.wav',Manmade,transport,BBC Sound Effects,'07065127_car approach and skid 1971',2.983877551,44100,131589,1,16,F,0,0,1,2,0,
431,'CarStarting_01_MONO.wav',Manmade,transport,BBC Sound Effects,'07055236_Peugeot 209 starts',2.821791383,44100,124441,1,16,F,0,0,0,0,0,
432,'CarStarting_02_MONO.wav',Manmade,transport,BBC Sound Effects,"'07002324_A tractor starts up, driving a circular saw, sawing ends, tractor switched off.wav'",2.766235828,44100,121991,1,16,F,0,0,0,0,0,
433,'CarStarting_03_MONO.wav',Manmade,transport,YouTube,"'car05.wav, 2009 Mercedes Benz McLaren SLR, 5.4L V8'",3,44100,132300,1,16,F,0,0,0,0,0,
434,'CarStarting_04_MONO.wav',Manmade,transport,YouTube,"'car14.wav, 1967 Ford GT40 Mark III, 4.7L V8'",3,44100,132300,1,16,F,0,0,0,0,0,
435,'CarStarting_05_MONO.wav',Manmade,transport,YouTube,"'car22.wav, 2005 Carrera GT, 5.7L V10'",3,44100,132300,1,16,F,0,0,0,0,0,
436,'CarStarting_06_MONO.wav',Manmade,transport,YouTube,"'car23.wav, 2005 Ford GT, 5.4L V8'",3,44100,132300,1,16,F,0,0,0,0,0,
437,'CarStarting_07_MONO.wav',Manmade,transport,YouTube,"'car27.wav, 1964 Porsche 901, 2.0L I4'",3,44100,132300,1,16,F,0,0,0,0,0,
438,'CarStarting_08_MONO.wav',Manmade,transport,YouTube,"'car29.wav, 2014 Vorsteiner Lamborghini Aventador-V LP-740, 6.5L V12'",2.508707483,44100,110634,1,16,F,0,0,0,0,0,
439,'CarStarting_09_MONO.wav',Manmade,transport,YouTube,"'car31.wav, 2010 Aston Martin DBS Carbon Black Edition, 6.0L V12'",2.387800454,44100,105302,1,16,F,0,0,0,0,0,
440,'CarStarting_10_MONO.wav',Manmade,transport,YouTube,"'car32.wav, 1990 Ferrari F40, 2.9L V8'",2.720294785,44100,119965,1,16,F,0,0,0,0,0,
441,'Helicopter_01_MONO.wav',Manmade,transport,BBC Sound Effects,'07025033_Sea King helicopter.wav',2.997732426,44100,132200,1,16,F,0,0,1,0,0,
442,Helicopter_02_MONO.wav',Manmade,transport,YouTube,'Awesome Helicopter Sounds At Moorabbin Airport Australia.....Play LOUD !!!! - from YouTube.wav',2.993492063,44100,132013,1,16,F,0,0,1,0,0,
443,'Helicopter_03_MONO.wav',Manmade,transport,BBC Sound Effects,'07025086_SIkorski 61N helicopter approaching.wav',3,44100,132300,1,16,F,0,0,1,0,0,
444,'Helicopter_04_MONO.wav',Manmade,transport,BBC Sound Effects,'07043038_Hughes 500E helicpter landing.wav',3,44100,132300,1,16,F,0,0,1,1,0,
445,Helicopter_05_MONO.wav',Manmade,transport,YouTube,'aaj_0438_MltryHlcptr1.wav',2.997619048,44100,132195,1,16,F,0,0,1,0,0,
446,'Helicopter_06_MONO.wav',Manmade,transport,OrangeFreeSounds.com,'Helicopter-idles-on-ground.wav',3,44100,132300,1,16,F,0,0,1,0,0,
447,'Helicopter_07_MONO.wav',Manmade,transport,OrangeFreeSounds.com,'Police-helicopter-flying-over-the-street.wav',3,44100,132300,1,16,F,0,0,1,1,0,
448,'Helicopter_08_MONO.wav',Manmade,transport,zapsplat.com,'transportation_aircraft_helicopter_idle_ground_001.wav',3,44100,132300,1,16,F,0,0,1,0,0,
449,'Helicopter_09_MONO.wav',Manmade,transport,zapsplat.com,'transportation_aircraft_helicopter_idle_ground_002.wav',3,44100,132300,1,16,F,0,0,1,0,0,
450,Helicopter_10_MONO.wav',Manmade,transport,YouTube,'25th Huey Helicopter (no music) - from YouTube.wav',2.966303855,44100,130814,1,16,F,0,0,1,0,0,
451,'JetPassing_01_MONO.wav',Manmade,transport,BBC Sound Effects,'07066144_single engine jet fighter passing.wav',3,44100,132300,1,16,F,0,0,1,2,0,
452,'JetPassing_02_MONO.wav',Manmade,transport,BBC Sound Effects,'07069012_747 jet aircraft - Pass overhead (use at low level)..wav',3,44100,132300,1,16,F,0,0,1,2,0,
453,'JetPassing_03_MONO.wav',Manmade,transport,BBC Sound Effects,'07058067_jet passing.wav',3,44100,132300,1,16,F,0,0,1,2,0,
454,'JetPassing_04_MONO.wav',Manmade,transport,FreeSound.org,'162247__surrey-film__red-arrows-hawk-low-pass.wav',3,44100,132300,1,16,F,0,0,1,2,0,
455,'JetPassing_05_MONO.wav',Manmade,transport,FreeSound.org,'251958__cliftonmcarlson__jet-plane-2.wav',3,44100,132300,1,16,F,0,0,1,2,0,
456,'JetPassing_06_MONO.wav',Manmade,transport,FreeSound.org,'275042__cell31-sound-productions__jet-plane-fly-over-night-ext.wav',3,44100,132300,1,16,F,0,0,1,2,0,
457,'JetPassing_07_MONO.wav',Manmade,transport,FreeSound.org,'349712__lonemonk__canadian-cf-18-highspeed-pass.wav',3,44100,132300,1,16,F,0,0,1,2,0,
458,JetPassing_08_MONO.wav',Manmade,transport,zapsplat.com,'transportation_aircraft_commercial_jet_pass_low_external_008.wav',2.963605442,44100,130695,1,16,F,0,0,1,2,0,
459,'JetPassing_09_MONO.wav',Manmade,transport,FreeSound.org,'465492__courter__southwest-airlines-flight-2418.wav',3,44100,132300,1,16,F,0,0,1,2,0,
460,'JetPassing_10_MONO.wav',Manmade,transport,SoundBible.com,'airplane-takeoff_daniel_simion.wav',3,44100,132300,1,16,F,0,0,1,2,0,
461,'Propeller_01_MONO.wav',Manmade,transport,BBC Sound Effects,'07000165_Barracuda landing taxi.wav',3,44100,132300,1,16,F,0,0,1,2,0,
462,'Propeller_02_MONO.wav',Manmade,transport,BBC Sound Effects,'07041206_Messerchmitt 100 circling in dive.wav',3,44100,132300,1,16,F,0,0,1,2,0,
463,Propeller_03_MONO.wav',Manmade,transport,YouTube,'Cessna 172 Single Prop Airplane Sound - from YouTube.wav',2.993582766,44100,132017,1,16,F,0,0,1,2,0,
464,Propeller_04_MONO.wav',Manmade,transport,YouTube,'Prop sounding PERFECTION!!!.wav',2.995056689,44100,132082,1,16,F,0,0,1,2,0,
465,'Propeller_05_MONO.wav',Manmade,transport,FreeSound.org,'403316__straget__a-small-propeller-plane.wav',3,44100,132300,1,16,F,0,0,1,2,0,
466,'Propeller_06_MONO.wav',Manmade,transport,BBC Sound Effects,'07051124_Cessna C159 starting.wav',2.999433107,44100,132275,1,16,F,0,0,1,2,0,
467,'Propeller_07_MONO.wav',Manmade,transport,FreeSound.org,'392486__gpag1__plane-flying-overhead.wav',3,44100,132300,1,16,F,0,0,1,2,0,
468,'Propeller_08_MONO.wav',Manmade,transport,FreeSound.org,'12812__jilliancallahan__generic-prop-idle.wav',3,44100,132300,1,16,F,0,0,1,2,0,
469,'Propeller_09_MONO.wav',Manmade,transport,FreeSound.org,'361434__jay-rope__small-propeller-plane.wav',3,44100,132300,1,16,F,0,0,1,2,0,
470,'Propeller_10_MONO.wav',Manmade,transport,FreeSound.org,'276492__blahoslav__propeller-plane.wav',3,44100,132300,1,16,F,0,0,1,2,0,
471,'TrainBreaks_01_MONO.wav',Manmade,transport,FreeSound.org,'333521__thesuprememuffinpooter__train.wav',3,44100,132300,1,16,F,1,0,1,2,0,Ambient outdoor sound
472,TrainBreaks_02_MONO.wav',Manmade,transport,YouTube,'__Very Loud Pacer Wheel Flange Squeal at Lincoln provided by 142051___ybmate.wav',2.929229025,44100,129179,1,16,F,1,0,1,2,0,Ambient outdoor sound
473,'TrainBreaks_03_MONO.wav',Manmade,transport,zapsplat.com,'ftus_USA+Train+Stop+at+Station+with+Break+Squeaks.wav',3,44100,132300,1,16,F,0,0,1,2,0,
474,TrainBreaks_04_MONO.wav',Manmade,transport,YouTube,'Wheel Squeal @ Heathfield (online-audio-converter.com).wav',2.401655329,44100,105913,1,16,F,1,0,1,2,0,Ambient outdoor sound
475,'TrainBreaks_05_MONO.wav',Manmade,transport,YouTube,'Metropolitan Line S Stock screeching in to Moorgate tube Station - from YouTube.wav',3,44100,132300,1,16,F,0,0,1,2,0,
476,TrainBreaks_06_MONO.wav',Manmade,transport,YouTube,'MBTA Boylston Station Wheel Squeal_ybmate.com.wav',2.977891156,44100,131325,1,16,F,1,0,1,2,0,Ambient outdoor sound
477,'TrainBreaks_07_MONO.wav',Manmade,transport,YouTube,'London Underground Bakerloo Line squealing rails.mov - from YouTube.wav',3,44100,132300,1,16,F,1,0,1,2,0,Ambient outdoor sound
478,TrainBreaks_08_MONO.wav',Manmade,transport,YouTube,"'Train squeal memories from Deshler, OH (online-audio-converter.com).wav'",2.904716553,44100,128098,1,16,F,1,0,1,2,0,Ambient outdoor sound
479,TrainBreaks_09_MONO.wav',Manmade,transport,YouTube,'Train Squealing (online-audio-converter.com).wav',2.922403628,44100,128878,1,16,F,0,0,1,2,0,
480,'TrainBreaks_10_MONO.wav',Manmade,transport,zapsplat.com,'cc0_train_freight_emergency_stop.wav',2.999773243,44100,132290,1,16,F,1,0,1,2,0,Ambient outdoor sound
481,'TrainSignal_01_MONO.wav',Manmade,transport,BBC Sound Effects,'07024023_TUbe Bakerloo 1938 train hooter.wav',2.999977324,44100,132299,1,16,F,1,0,0,0,0,Ambient outdoor sound
482,'TrainSignal_02_MONO.wav',Manmade,transport,BBC Sound Effects,'07071132_train signal 3 times stationary.wav',2.386575964,44100,105248,1,16,F,1,0,0,0,0,Ambient outdoor sound
483,'TrainSignal_03_MONO.wav',Manmade,transport,BBC Sound Effects,'07071131_trains iren 3 times stationary.wav',2.559138322,44100,112858,1,16,F,0,0,0,0,0,
484,'TrainSignal_04_MONO.wav',Manmade,transport,SoundBible.com,'steam-train-whistle-daniel_simon.wav',3,44100,132300,1,16,F,0,0,0,0,0,
485,'TrainSignal_05_MONO.wav',Manmade,transport,FreeSound.org,'71778__bidone__steam-whistle.wav',2.999614512,44100,132283,1,16,F,1,0,0,0,0,Ambient outdoor sound
